Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Dennish Himawan,23,"1,74 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV04lc046teOGHlkGGzUaS6H2pLq1tl7gZdw&s,RW,Dewa United FC,2,0,14,,,0,0 min,0,1,0,0,0,2.0 (0%),0 (0%),0.5 (0%),,0,0.5,0,0,0,0.0 (0%),2.5 (71%),1.5 (0%),0,0,0,,0,0,0
Risto Mitrevski,32,"1,87 m","Rp3,48B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSb6z57XZgvnNs3Q2YG6PhIDRCXkifPMSsvg&s,CB,Dewa United FC,30,30,99,,,3,988 min,0.1,1.3,0.7,0,0.2,41.3 (83%),4.5 (49%),0.2 (39%),,5.2,9.1,2,3,28,0.1 (50%),4.5 (44%),1.6 (62%),0.7,0.2,0.03,,8,0,0
Altariq Ballah,23,"1,75 m","Rp3,48B",https://img.a.transfermarkt.technology/portrait/big/875237-1617807024.jpg?lm=1,LB,Dewa United FC,28,25,87,,,0,0 min,0,0.3,0.1,1,0.5,24.5 (79%),1.4 (47%),0.3 (16%),,3.7,7.4,3.1,2.1,15,1.7 (70%),5.9 (39%),0.6 (53%),1.3,1,0.04,,5,0,0
Ady Setiawan,29,"1,67 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE7687_original_23503.png?1691045533,RB,Dewa United FC,23,18,81,,,0,0 min,0,0.2,0.04,4,0.8,23.4 (77%),1.2 (33%),1.1 (36%),,3.2,6.3,2.9,1.6,10,0.7 (70%),3.0 (30%),0.5 (39%),0.7,0.6,0.1,,3,0,0
Ahmad Rusadi,21,"1,80 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ahmad-rusadi-230622-1687380457_original_35913.jpg?1698309049,CB,Dewa United FC,9,5,50,,,1,451 min,0.1,0.3,0.2,0,0.1,13.3 (80%),1.8 (47%),0.1 (50%),,2.9,4.1,3.7,1.7,8,0.1 (100%),2.9 (33%),0.4 (50%),1.6,0.2,0,,4,1,1
Agung Mannan,25,"1,75 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE171595398_original_32244.png?1691045951,CB,Dewa United FC,22,17,79,,,1,1746 min,0.05,0.5,0.1,0,0.3,30.8 (84%),4.7 (62%),0.2 (50%),,4.2,8,2.9,2.3,19,0.5 (83%),4.1 (32%),1.2 (48%),1.6,0.5,0,,12,1,1
Brian Fatari,24,"1,86 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnqNFfW_pM7wte8wagqDDp9T_4X7Pqpm_5YA&s,CB,Dewa United FC,10,10,97,,,1,968 min,0.1,0.6,0.2,0,0.1,33.5 (86%),2.4 (48%),0.1 (100%),,4.2,7.5,2.3,1.8,3,0.3 (75%),4.1 (39%),0.9 (38%),0.9,0.5,0,,1,0,0
Iqbal Al Ghuzat,25,"1,66 m","Rp1,30B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQew0RiLjStUbbub3qGQROGzdhiOT_q2hGf0A&s,LB,Dewa United FC,6,1,37,,,0,0 min,0,0.2,0.2,0,0.5,7.2 (69%),0.3 (22%),0.3 (67%),,1.3,2.5,1.2,1.3,3,0.3 (40%),1.8 (24%),0.0 (0%),0.7,0.7,0,,0,0,0
Mochammad Zaenuri,29,"1,82 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-moch-zaenuri-230616-1686880810_original_23627.jpg?1698309355,CB,Dewa United FC,16,10,61,,,0,0 min,0,0.3,0,0,0,21.9 (87%),1.7 (56%),0.0 (0%),,3.6,5.6,2.1,2.3,8,0.1 (67%),2.6 (32%),1.4 (59%),1,0.06,0,,4,0,0
Sonny Stevens,32,"1,94 m","Rp6,95B",https://img.a.transfermarkt.technology/portrait/big/160361-1418857040.jpg?lm=1,GK,Dewa United FC,32,32,99,1.4,4.2 (75%),1,3157 min,0.03,0.03,0.03,0,0,15.0 (83%),2.8 (51%),0.0 (0%),7,1.9,5.2,0.3,0.3,4,0.0 (0%),0.5 (63%),0.3 (90%),0,0.06,0,7.8,2,0,0
Muhammad Natshir Fadhil Mahbuby,31,"1,82 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-m-natshir-fadhil-mahbuby-230622-1687379691_original_17843.jpg?1698309429,GK,Dewa United FC,1,1,98,0,9.0 (100%),0,0 min,0,0,0,0,0,15.0 (94%),2.0 (67%),0.0 (0%),1,3,7,0,1,0,0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,13,0,0,0
Septian David Maulana,27,"1,74 m","Rp3,91B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-septian-david-maulana-230701-1688190336_original_24631.jpg?1698317086,AMF,PSIS Semarang,31,23,71,,,2,1104 min,0.06,1.3,0.5,1,0.3,14.8 (83%),0.6 (54%),0.1 (21%),,0.9,1.8,0.2,0.3,5,1.0 (76%),3.7 (39%),0.4 (34%),0.5,1.3,0.2,,1,0,0
Debby Liana,18,"1,70 m","Rp173,82M",https://img.a.transfermarkt.technology/portrait/big/1202147-1699778888.jpg?lm=1,CF,PSIS Semarang,4,1,21,,,1,82 m,0.3,0.3,0.3,1,0.3,3.8 (88%),0.3 (100%),0.0 (0%),,0.8,1,0.5,0.3,1,0.5 (33%),1.8 (29%),0.3 (100%),0.8,0.3,0,,0,0,0
Basajum Latuconsina,19,"1,56 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVzMqm4nvzzKYOsu1oTumVixH53JO2iriWYg&s,CF,PSIS Semarang,6,0,8,,,0,0 min,0,0.8,0.5,0,0,1.8 (85%),0 (0%),0.2 (100%),,0.2,0.3,0.3,0,0,0.7 (57%),0.8 (31%),0.0 (0%),0,0,0,,0,0,0
Mohammad Akrom,21,"1,73 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJHb78XidacYK5ZOxR8aRaW81HiXMcPR9E1g&s,CF,PSIS Semarang,1,0,15,,,0,0 min,0,0,0,0,0,1.0 (0%),0 (0%),0.0 (0%),,2,2,0,0,0,1.0 (100%),2.0 (100%),0.0 (0%),0,0,0,,0,0,0
Taisei Marukawa,27,"1,69 m","Rp5,65B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2-9SVnCvaFDL4J3R6r1IpWPXRfbXwnTpf5w&s,LW,PSIS Semarang,30,28,86,,,4,648 min,0.1,1.1,0.5,7,1.1,18.2 (77%),0.6 (37%),0.7 (30%),,1,3.2,0.8,0.1,1,3.8 (75%),7.2 (48%),0.1 (17%),0.7,1.7,0.2,,1,0,0
Alfeandra Dewangga,23,"1,79 m","Rp5,21B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDcJc5UrMfonr9VzJmYd5oP3dReORF3UVx1Q&s,DMF,PSIS Semarang,26,25,90,,,2,1168 min,0.08,1.6,0.4,0,0.7,32.1 (82%),2.3 (43%),0.4 (56%),,3.5,7,1.5,1.4,16,1.6 (85%),7.6 (52%),1.3 (65%),1.2,3.2,0,,6,1,1
Evan Dimas Darmono,29,"1,67 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Evan_original_23451.png?1670220168,CMF,PSIS Semarang,14,7,39,,,1,547 min,0.07,0.6,0.4,0,0.1,19.0 (93%),1.5 (78%),0.0 (0%),,0.5,2.4,1.1,0.07,0,0.2 (50%),1.6 (35%),0.1 (33%),0.4,0.2,0,,1,0,0
Paulo Gali,19,"1,65 m","Rp4,35B",https://img.a.transfermarkt.technology/portrait/big/678002-1689561068.jpeg?lm=1,RW,PSIS Semarang,32,29,87,,,11,253 min,0.3,2.3,1.1,3,1.5,20.6 (79%),1.0 (56%),0.4 (26%),,2.1,3.6,1.3,0.5,8,4.5 (72%),8.3 (40%),0.2 (25%),1.4,1.7,0.5,,8,0,0
Boubakary Diarra,30,"1,87 m","Rp5,65B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnxOdoC_J0m6RBjUUfAtSxP_-p79ZXVCR9cA&s,CMF,PSIS Semarang,32,31,96,,,2,1543 min,0.06,0.5,0.09,0,0.5,31.4 (87%),0.3 (33%),0.2 (24%),,3,5.7,1.3,0.6,17,1.6 (71%),6.8 (38%),0.8 (42%),1.3,1.2,0.03,,4,0,0
Tri Setiawan,20,"1,78 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/1056104-1699780720.jpg?lm=1,CMF,PSIS Semarang,18,7,42,,,3,253 min,0.2,1.2,0.3,0,0.2,15.5 (90%),0.7 (71%),0.1 (33%),,1.2,2.1,1.1,0.6,6,0.6 (71%),2.7 (33%),0.3 (50%),1.1,0.4,0.2,,4,0,0
Vitinho,31,"1,74 m","Rp3,04B",https://www.soccerzz.com/img/jogadores/38/976538_med__20230131114233_vitinho.jpg,LW,PSIS Semarang,15,10,50,,,1,756 min,0.07,0.7,0.3,2,0.9,10.8 (73%),0.6 (53%),0.6 (25%),,1.3,2.7,0.6,0.4,1,3.1 (68%),6.1 (47%),0.1 (25%),1.1,1,0.4,,0,0,0
Gian Zola Nasrulloh Nugraha,25,"1,65 m","Rp2,61B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1A6XCer-DIeZYqjxKbRVCI6Vm46WAj5nnqw&s,AMF,PSIS Semarang,21,6,32,,,1,681 min,0.05,0.5,0.1,0,0.2,7.0 (84%),0.5 (53%),0.0 (11%),,0.4,1,0.3,0.1,0,0.5 (85%),2.0 (35%),0.1 (30%),0.7,1.2,0.05,,4,0,0
Delvin Rumbino,29,"1,75 m","Rp1,74B",https://www.footballdatabase.eu/images/photos/players/a_313/313696.jpg,CMF,PSIS Semarang,14,3,27,,,0,0 min,0,0.2,0,0,0.07,7.7 (84%),0.8 (69%),0.0 (0%),,1.2,3.4,1.3,0.2,4,0.4 (83%),2.6 (45%),0.1 (33%),1.1,0.5,0,,2,0,0
Riyan Ardiansyah,28,"1,74 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-riyan-ardiansyah-230701-1688191810_original_24611.jpg?1698317062,LW,PSIS Semarang,28,11,42,,,3,388 min,0.1,0.9,0.4,1,0.3,7.5 (74%),0.4 (50%),0.4 (26%),,1.3,1.4,0.9,0.2,2,1.4 (72%),3.5 (37%),0.3 (31%),0.6,0.8,0.3,,3,0,0
Azyah Nur Faizin Madilesa,18,"1,69 m","Rp173,82M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYLNjdpkmijgJJcrSpgDRO8srcK45NHK-CXQ&s,CMF,PSIS Semarang,5,0,15,,,0,0 min,0,0.4,0,0,0,5.6 (90%),0 (0%),0.2 (100%),,1.2,1.6,0.2,0.2,2,0.0 (0%),0.2 (8%),0.0 (0%),0.4,0.2,0,,0,0,0
Wahyu Prasetyo,26,"1,80 m","Rp3,91B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ30H0Wfji4RIRQN3UyMNUFF2SlI0vyNbtftA&s,CB,PSIS Semarang,29,28,95,,,0,0 min,0,0.3,0.1,1,0.1,42.6 (83%),5.5 (52%),0.0 (20%),,5.9,9.7,1.6,3.1,25,1.0 (74%),5.7 (47%),1.6 (61%),0.9,0.4,0,0.03,10,0,0
Lucao,31,"1,98 m","Rp4,35B",https://img.a.transfermarkt.technology/portrait/big/681697-1655298897.jpg?lm=1,CB,PSIS Semarang,32,32,98,,,4,784 min,0.1,0.5,0.2,0,0.1,45.8 (91%),2.4 (49%),0.0 (0%),,5.3,9.9,1.9,2.9,20,0.4 (81%),5.6 (45%),1.7 (50%),1.1,0.2,0,0.06,4,0,0
Haykal Alhafiz,23,"1,72 m","Rp1,30B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQl8dyW_ktdQfGfZiNqwx5krXsxss3hkaaSuA&s,LB,PSIS Semarang,18,12,62,,,0,0 min,0,0.3,0,2,0.3,20.4 (80%),1.2 (50%),0.6 (50%),,3.1,5,1.9,1.4,10,0.9 (89%),3.5 (40%),0.5 (47%),0.4,0.8,0,,0,0,0
Bayu Fiqri,22,"1,76 m","Rp2,17B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTp7_d5oq_j4vVT-qUKdVp81oKDWTbRM3tzDw&s,RB,PSIS Semarang,13,9,67,,,0,0 min,0,0.08,0,0,0.08,18.8 (84%),1.1 (52%),0.1 (13%),,3.8,4.8,3.4,0.8,5,0.5 (67%),3.9 (32%),0.8 (71%),1.2,1,0.2,,1,0,0
Habil Akbar,18,"1,71 m","Rp173,82M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSlfGhQmHkRMf081IfhaVLCCR9VN9CtLkEcw&s,LB,PSIS Semarang,2,1,52,,,0,0 min,0,0,0,0,0,14.5 (78%),0.0 (0%),0.0 (0%),,0,2,2,0.5,0,0.0 (0%),3.0 (40%),1.0 (50%),0.5,2,0,,0,0,0
Barnabas Sobor,21,"1,80 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToQATvZpqwgdeDkl6LvZQUmt4w2Oqnhe0ugQ&s,LB,PSIS Semarang,3,1,27,,,0,0 min,0,0,0,0,0,14.7 (88%),0.3 (100%),0.0 (0%),,1.7,2.7,1,0.3,2,0.0 (0%),0.7 (13%),0.0 (0%),1.3,0,0,,0,0,0
Fredyan Wahyu Sugiyantoro,26,"1,66 m","Rp3,48B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSer8_CEpyM03281eSf48cpUJjFMuk9X4MKsg&s,RB,PSIS Semarang,28,26,89,,,2,1247 min,0.07,0.9,0.3,1,0.5,27.3 (83%),1.1 (53%),0.4 (24%),,3.7,6.6,3.4,0.6,13,1.5 (72%),4.1 (33%),0.4 (37%),1.1,0.6,0.04,,7,0,0
Giovani Numberi,24,"1,62 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-giovani-jorim-herzon-dacosta-numberi-230701-1688214706_original_55456.jpg?1698316878,LB,PSIS Semarang,31,20,70,,,1,2173 min,0.03,0.3,0.06,0,0.3,22.9 (75%),1.9 (48%),0.3 (25%),,4.5,6.3,2.8,2.9,15,1.1 (72%),3.9 (31%),0.6 (42%),0.7,0.3,0.03,,4,0,0
Syiha Buddin,23,"1,75 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Syiha_original_29415.webp?1670222931,CB,PSIS Semarang,8,6,68,,,0,0 min,0,0,0,0,0,37.1 (93%),2.0 (67%),0.0 (0%),,2.4,4.1,1.5,0.8,4,0.0 (0%),2.5 (34%),0.0 (0%),0.8,0.3,0,,1,0,0
Adi Satryo,23,"1,79 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhammad-adi-satryo-230701-1688213937_original_25384.jpg?1698316996,GK,PSIS Semarang,23,23,96,1.2,3.5 (75%),0,0 min,0,0,0,0,0,16.7 (88%),2.3 (56%),0.0 (0%),5,1.7,4.7,0.1,0.3,5,0.1 (100%),0.9 (78%),0.4 (91%),0.09,0.3,0,8,1,1,1
Muhammad Rizky Darmawan,30,"1,80 m","Rp1,30B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv-v2I9tylVcMuHiQYcWTxxFagego73Xo1Hg&s,GK,PSIS Semarang,13,10,82,1,2.9 (75%),0,0 min,0,0,0,0,0,9.6 (81%),1.4 (43%),0.0 (0%),3,1.7,3.3,0.3,0.3,4,0.0 (0%),0.5 (50%),0.4 (71%),0,0.2,0,8.5,2,0,0
Ramadhan Sananta,21,"1,82 m","Rp4,78B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFSQOpkgPLNXMMz_ZYUZH-KSaxc5VlSgaHog&s,CF,Persis Solo,23,15,64,,,8,185 min,0.3,2.4,1,0,0.3,7.1 (70%),0.3 (43%),0.1 (10%),,1.2,1.5,0.3,1,4,2.0 (67%),5.7 (44%),1.0 (42%),0.5,1.3,1.2,,4,0,0
Arkhan Putra Kaka,16,"1,88 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/991806-1689735642.jpg?lm=1,CF,Persis Solo,15,6,45,,,0,0 min,0,0.9,0.3,0,0.2,6.1 (71%),0.0 (0%),0.1 (18%),,1.2,1.8,0.4,0.3,1,0.8 (75%),4.5 (41%),1.1 (40%),0.8,0.9,0.07,,4,0,0
Irfan Jauhari,23,"1,73 m","Rp3,48B",https://img.a.transfermarkt.technology/portrait/big/746977-1689735256.jpg?lm=1,RW,Persis Solo,8,2,45,,,0,0 min,0,0.6,0.1,0,0.3,9.8 (79%),0.5 (80%),0.3 (25%),,1.1,3,1.3,0.6,0,1.4 (65%),4.5 (42%),0.0 (0%),0.5,1.4,0,,0,0,0
David Gonzalez Roni,30,"1,83 m","Rp3,91B",https://img.a.transfermarkt.technology/portrait/big/348552-1689735468.jpg?lm=1,CF,Persis Solo,33,25,69,,,7,324 min,0.2,1.4,0.8,6,0.8,11.0 (80%),0.2 (56%),0.2 (28%),,1,1.6,0.2,0.1,3,1.9 (72%),4.8 (33%),0.1 (9%),1.1,1.2,0.2,,0,0,0
Rendy Sanjaya,20,"1,69 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-i-gusti-made-rendy-sanjaya-putra-230629-1688006730_original_28424.jpg?1698314988,RW,Persis Solo,3,1,53,,,0,0 min,0,0.3,0.3,0,0.3,7.0 (68%),0 (0%),0.0 (0%),,1.7,3,2,0.3,0,1.3 (80%),6.3 (44%),0.3 (50%),0.7,2.3,0,,0,0,0
Alexis Messidoro,27,"1,71 m","Rp7,82B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-alexis-nahuel-messidoro-230629-1687979344_original_38981.jpg?1698314663,CMF,Persis Solo,32,31,92,,,6,492 min,0.2,1.5,0.6,10,1.7,41.3 (79%),3.9 (53%),0.3 (22%),,5.3,9,3.4,0.7,20,3.4 (67%),10.0 (43%),0.6 (49%),1.4,1.2,0.1,,6,0,0
Moussa Sidibe,29,"1,70 m","Rp5,21B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-moussa-sidibe-230630-1688132317_original_35664.jpg?1698315153,RW,Persis Solo,27,26,88,,,11,216 min,0.4,2.9,1.1,4,1.5,21.4 (75%),0.7 (68%),0.7 (30%),,1.6,3.5,0.9,0.1,6,4.3 (58%),8.8 (38%),0.2 (26%),1.3,2,0.4,,6,0,0
Sho Yamamoto,27,"1,74 m","Rp4,78B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-sho-yamamoto-230627-1687818510_original_37741.jpg?1698312289,CMF,Persis Solo,33,33,89,,,3,983 min,0.09,1.3,0.5,1,0.7,25.2 (87%),0.8 (57%),0.2 (21%),,2.5,4.7,1.1,0.4,8,2.2 (69%),7.0 (43%),0.5 (46%),0.7,2.1,0.06,,3,0,0
Zanadin Fariz,20,"1,65 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/990601-1689735055.jpg?lm=1,AMF,Persis Solo,6,3,44,,,1,262 min,0.2,0.8,0.2,1,1,10.7 (84%),0.5 (60%),0.0 (0%),,1,2.7,1.2,0.3,0,0.3 (50%),3.2 (36%),0.2 (33%),0.7,1.7,0.2,,1,0,0
Sutanto Tan,30,"1,79 m","Rp3,91B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-sutanto-tan-230628-1687918786_original_25370.jpg?1698315296,DMF,Persis Solo,24,24,92,,,1,2207 min,0.04,0.8,0.1,0,0.2,28.3 (81%),2.0 (46%),0.3 (47%),,3.7,8.1,2.5,1.3,15,0.5 (63%),5.0 (39%),1.2 (48%),1.3,1.6,0,,6,0,0
Althaf Alrizky,21,"1,64 m","Rp2,17B",https://www.footballdatabase.eu/images/photos/players/a_493/493145.jpg,LW,Persis Solo,29,18,57,,,4,411 min,0.1,1,0.4,3,0.8,9.8 (75%),0.3 (50%),0.7 (32%),,1.7,3,1.1,0.2,3,1.9 (59%),4.4 (39%),0.1 (15%),0.8,0.9,0,,4,0,0
Arapenta Poerba,25,"1,75 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-arapenta-lingka-poerba-230628-1687918130_original_17889.jpg?1698314713,AMF,Persis Solo,29,8,38,,,1,1109 min,0.03,0.4,0.1,0,0.4,12.7 (83%),0.2 (40%),0.1 (36%),,0.7,2.2,1,0.1,1,0.7 (79%),3.2 (37%),0.3 (36%),1,0.9,0,,4,0,0
Taufiq Febriyanto,27,"1,65 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-taufiq-febriyanto-230628-1687919277_original_24593.jpg?1698315307,CMF,Persis Solo,19,8,45,,,0,0 min,0,0.2,0.05,0,0.2,14.8 (87%),0.4 (39%),0.2 (75%),,2.1,3.7,1.5,0.6,5,0.2 (75%),1.6 (26%),0.1 (13%),1.2,0.3,0,,2,0,0
Mochamad Shulton Fajar,30,"1,70 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-mochamad-shulton-fajar-230628-1687918251_original_25907.jpg?1698315106,DMF,Persis Solo,18,3,35,,,0,0 min,0,0.2,0,0,0.06,9.9 (86%),0.7 (63%),0.0 (0%),,0.9,2.7,0.9,0.5,2,0.4 (70%),1.8 (33%),0.1 (13%),1.1,0.4,0,,4,0,0
Jaimerson,34,"1,87 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-jaimerson-da-silva-xavier-230629-1687979915_original_22350.jpg?1698315045,CB,Persis Solo,28,27,91,,,0,0 min,0,0.5,0.07,1,0.2,33.1 (84%),3.1 (49%),0.2 (45%),,5.7,10.1,2.4,3.5,26,0.6 (94%),5.9 (41%),2.0 (56%),1.4,1,0.07,0.07,6,2,2
Diego Bardanca,31,"1,90 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-diego-florez-bardanca-230630-1688107473_original_61562.jpg?1698314805,CB,Persis Solo,18,16,79,,,1,1418 min,0.06,0.06,0.06,0,0.1,22.4 (85%),1.9 (55%),0.1 (100%),,3.7,8.1,1.6,3.1,16,0.1 (100%),3.5 (39%),1.8 (54%),1.2,0.4,0,0.06,6,0,0
Gavin Kwan Adsit,28,"1,81 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-gavin-kwan-adsit-230628-1687918708_original_23009.jpg?1698314951,RB,Persis Solo,13,9,46,,,0,0 min,0,0.2,0,0,0.2,9.5 (83%),0.4 (42%),0.3 (31%),,1.8,3.5,2.1,0.8,3,0.3 (50%),3.2 (37%),0.6 (50%),0.5,0.6,0.2,,2,1,1
Alfath Fathier,28,"1,71 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/506549-1689735341.jpg?lm=1,LB,Persis Solo,13,8,48,,,0,0 min,0,0.2,0.2,0,0.3,13.5 (85%),0.9 (63%),0.3 (50%),,2.9,3.8,1.7,0.8,1,1.1 (67%),2.8 (38%),0.3 (100%),0.8,0.2,0.08,,2,0,0
Rian Miziar,33,"1,78 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-rian-miziar-230628-1687944667_original_25149.jpg?1698315247,CB,Persis Solo,31,31,94,,,0,0 min,0,0.06,0.03,0,0.06,22.1 (80%),2.7 (51%),0.1 (75%),,4.5,7.3,1.9,2.6,17,0.0 (0%),3.6 (37%),1.5 (52%),0.8,0.6,0.03,,8,0,0
Muhammad Faqih Maulana,19,"1,75 m","Rp2,61B",https://www.footballdatabase.eu/images/photos/players/a_494/494646.jpg,LB,Persis Solo,26,16,63,,,0,0 min,0,0.04,0,2,0.3,10.7 (74%),0.6 (37%),0.5 (35%),,2.6,4.4,2.3,0.9,8,1.0 (72%),4.7 (42%),1.1 (71%),1.3,1.9,0.04,,9,0,0
Eky Taufik Febriyanto,33,"1,76 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-eky-taufik-febrianto-230628-1687944805_original_23496.jpg?1698314866,RB,Persis Solo,29,24,73,,,2,1054 min,0.07,0.3,0.07,3,0.6,17.3 (71%),1.8 (48%),0.9 (38%),,4,6.6,2.5,1.6,11,0.6 (65%),3.8 (31%),0.9 (67%),1.4,0.8,0.1,,5,0,0
Arif Budiyono,31,"1,79 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE2476_original_26284.png?1691045909,CB,Persis Solo,8,1,37,,,0,0 min,0,0.3,0,0,0.1,5.9 (69%),0.8 (38%),0.0 (0%),,2.5,3.3,0.6,1.5,3,0.0 (0%),1.9 (38%),1.4 (73%),0.3,0.3,0,,0,0,0
Chrystna Bhagascara,26,"1,70 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-chrystna-bhagascara-230628-1687918462_original_26201.jpg?1698314751,RB,Persis Solo,20,4,44,,,0,0 min,0,0.3,0.2,0,0.2,13.9 (81%),0.8 (47%),0.3 (26%),,2.1,3.8,2.3,0.6,6,0.2 (75%),1.4 (19%),0.1 (15%),0.7,0.05,0.05,,2,0,0
Muhammad Riyandi,24,"1,86 m","Rp3,48B",https://www.footballdatabase.eu/images/photos/players/a_299/299529.jpg,GK,Persis Solo,13,13,93,1.2,3.9 (76%),0,0 min,0,0,0,0,0,11.9 (79%),3.7 (57%),0.0 (0%),2,2.2,4.6,0.2,0.2,2,0.0 (0%),0.6 (62%),0.5 (88%),0.08,0.3,0,7.7,0,1,1
Gianluca Pandeynuwu,26,"1,85 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-gianluca-claudio-pandeynuwu-230629-1687997451_original_17907.jpeg?1698314974,GK,Persis Solo,16,15,96,1.5,3.4 (69%),0,0 min,0,0,0,0,0,9.9 (73%),3.4 (54%),0.0 (0%),2,1.4,4.4,0.1,0.3,4,0.0 (0%),1.1 (95%),0.8 (100%),0.06,0.4,0,10,2,0,0
Marko Simic,36,"1,87 m","Rp,130B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE181593873_original_23460.png?1691049147,CF,Persija Jakarta,27,16,60,,,11,148 min,0.4,1.8,0.8,0,0.07,3.9 (63%),0.1 (33%),0.2 (42%),,0.8,0.7,0.4,0.4,5,0.4 (58%),3.9 (36%),1.9 (40%),1,0.8,0.5,,1,0,0
