Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Ramdani Lestaluhu,32,"1,67 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/506164-1703147844.png?lm=1,CMF,Bali United,16,6,35,,,0,0 min,0,0.6,0.06,0,0.2,7.4 (78%),0.3 (56%),0.1 (29%),,0.9,2.7,0.8,0.2,2,0.3 (57%),2.4 (32%),0.1 (14%),0.8,0.6,0.06,,2,0,0
Jajang Maulana,35,"1,82 m","Rp434,54M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3mxS0MpY5yD7rP8lP1KywMsMojYlW3Vjssw&s,CB,Bali United,22,15,69,,,1,1514 min,0.05,0.5,0.09,1,0.09,16.0 (80%),1.6 (41%),0.0 (0%),,3.3,5.5,1.4,2.4,12,0.0 (50%),2.7 (36%),1.3 (50%),1.2,0.4,0,,7,3,3
Fadil Sausu,39,"1,75 m","Rp173,82M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Fadil_original_17895.webp?1670211764,CMF,Bali United,6,1,23,,,0,0 min,0,0.3,0,2,0.7,9.5 (86%),1.0 (60%),0.0 (0%),,0.5,1.5,0.2,0,0,0.3 (100%),0.7 (40%),0.0 (0%),0.3,0.2,0,,0,0,0
Lulinha,34,"1,70 m","Rp4,35B",https://img.a.transfermarkt.technology/portrait/big/s_52836_2029_2012_1.jpg?lm=1,LW,Madura United FC,19,18,88,,,5,336 min,0.3,2.1,0.7,0,1.5,22.3 (79%),0.6 (37%),0.8 (29%),,1.9,4.1,2.1,0.4,3,3.6 (64%),10.4 (45%),1.2 (56%),1.1,3.1,0.05,,1,0,0
Riski Afrisal,18,"1,69 m","Rp434,54M",https://img.a.transfermarkt.technology/portrait/big/1032769-1699677877.JPG?lm=1,LM,Madura United FC,9,1,35,,,1,318 min,0.1,0.6,0.2,1,0.2,8.1 (84%),0.2 (67%),0.2 (50%),,1.2,2.2,1.1,0.2,0,0.7 (38%),1.8 (29%),0.1 (33%),0.9,0.7,0.1,,0,0,0
Bayu Gatra Sanggiawan,32,"1,67 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE4668_original_22414.png?1691393149,RW,Madura United FC,26,1,25,,,1,638 min,0.04,0.3,0.04,1,0.2,5.6 (73%),0.2 (43%),0.4 (44%),,0.7,1,0.3,0.2,1,0.7 (73%),1.5 (34%),0.0 (20%),0.4,0.3,0.04,,2,0,0
Slamet Nurcahyo,41,"1,65 m","Rp173,82M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQ_vL6wWeDG8AJDJfEZI1w_tw-kslyEzEi-w&s,CMF,Madura United FC,10,1,15,,,1,148 min,0.1,0.3,0.1,0,0.4,6.1 (81%),0.1 (20%),0.2 (40%),,0,0.1,0.3,0,1,0.1 (100%),0.4 (15%),0.0 (0%),0.4,0.2,0,,0,0,0
Ramzy,22,"1,67 m","Rp173,82M",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmNAGYYNGCVsqNf8ZHcasyCT14GLisWZVGaA&s,CMF,Madura United FC,9,2,31,,,0,0 min,0,0.1,0,0,0,4.7 (81%),0.4 (100%),0.0 (0%),,0.7,1.4,0.9,0.4,1,0.1 (50%),1.6 (23%),0.4 (50%),0.9,0.6,0,,0,0,0
Koko Ari,24,"1,78 m","Rp3,91B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-koko-ari-araya-230627-1687839419_original_22332.jpg?1698310418,RB,Madura United FC,32,30,85,,,0,0 min,0,0.2,0.09,2,0.3,27.4 (86%),0.7 (42%),0.5 (33%),,2.8,6.5,2.5,1.9,17,1.0 (66%),4.8 (34%),0.8 (51%),1.2,0.8,0.03,,5,0,0
Kartika Vedhayanto,22,"1,70 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-kartika-vedhayanto-putra-230627-1687810276_original_24646.jpg?1698310399,RB,Madura United FC,7,5,46,,,0,0 min,0,0.1,0,0,0,15.0 (85%),0.6 (31%),0.1 (50%),,1.4,4,1.1,1.1,5,0.0 (0%),2.7 (37%),0.6 (40%),1.3,0.9,0,,2,0,0
Jaja,29,"1,79 m","Rp7,82B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFQoFII9cBJwjCFu5Ut10fZsJrZOais5j_-A&s,CMF,Madura United FC,32,32,93,,,9,332 min,0.3,1.9,0.6,4,1.3,37.0 (86%),3.2 (68%),0.5 (50%),,4.8,8.1,1.6,1.1,19,1.4 (85%),6.5 (46%),1.1 (66%),0.7,2.2,0.09,,7,0,0
